date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:58:27	323/323	---M-Z	200	added ('OK')	text/plain	date:Mon,%2026%20Apr%202021%2016:01:11%20GMT	https://www.redemptionchurch.co.za/robots.txt		(from )
00:58:29	184489/184489	---M-Z	200	added ('OK')	text/html	etag:W/%226e34a6b8a7736fbfa647026f8cfaf8ff%22	https://www.redemptionchurch.co.za/	C:/My%20Web%20Sites/rlabs%20project/www.redemptionchurch.co.za/index.html	(from )
00:58:30	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Mon,%2026%20Apr%202021%2022:58:32%20GMT	http://static1.squarespace.com/static/5e7239232f1ecd14b3d5416c/t/5ff34b1f289de731b30f99eb/1609780012293/Redemption+logo+white.png?format=1500w	C:/My%20Web%20Sites/rlabs%20project/static1.squarespace.com/static/5e7239232f1ecd14b3d5416c/t/5ff34b1f289de731b30f99eb/1609780012293/Redemption+logo+white.026f7.delayed	(from https://www.redemptionchurch.co.za/)
00:58:33	23212/23212	---M--	200	added ('OK')	image/png	etag:CLuM4O3hgu4CEAE=	https://images.squarespace-cdn.com/content/5e7239232f1ecd14b3d5416c/1609780003702-77GGMXKAXUFXBGZ1K3LO/Redemption+logo+white.png?format=1500w&content-type=image%2Fpng	C:/My%20Web%20Sites/rlabs%20project/images.squarespace-cdn.com/content/5e7239232f1ecd14b3d5416c/1609780003702-77GGMXKAXUFXBGZ1K3LO/Redemption+logo+white2acd.png	(from https://www.redemptionchurch.co.za/)
00:58:35	121795/121795	---M-Z	200	added ('OK')	text/javascript	etag:%22407be27f6c01802526b08d75e747f800%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-7d6dc599f0e9e5882dcca-min.en-US.js	C:/My%20Web%20Sites/rlabs%20project/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-7d6dc599f0e9e5882dcca-min.en-US.js	(from https://www.redemptionchurch.co.za/)
00:58:37	257746/257746	---M-Z	200	added ('OK')	text/javascript	etag:%220e28a2bab2568967b06ccb29a987d025%22	http://assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	C:/My%20Web%20Sites/rlabs%20project/assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	(from https://www.redemptionchurch.co.za/)
00:58:44	249972/249972	---M-Z	200	added ('OK')	text/javascript	etag:%22a4c3f8e16f85185c5750bd48a11ffb37%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-afecde13fe31e4470ac33-min.en-US.js	C:/My%20Web%20Sites/rlabs%20project/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-afecde13fe31e4470ac33-min.en-US.js	(from https://www.redemptionchurch.co.za/)
00:58:44	10063/10063	---M-Z	200	added ('OK')	text/css	etag:%22e1cb2ba8bd9ab5e7cec0e466fd15d80e%22	http://assets.squarespace.com/universal/styles-compressed/commerce-0418f029ba9aeb9db8790-min.en-US.css	C:/My%20Web%20Sites/rlabs%20project/assets.squarespace.com/universal/styles-compressed/commerce-0418f029ba9aeb9db8790-min.en-US.css	(from https://www.redemptionchurch.co.za/)
00:58:46	45386/45386	---M-Z	200	added ('OK')	text/javascript	etag:%221a9576f542aa2e25cfecc5aca041e82a%22	http://assets.squarespace.com/universal/scripts-compressed/performance-0add3f16b92e7b8855b50-min.en-US.js	C:/My%20Web%20Sites/rlabs%20project/assets.squarespace.com/universal/scripts-compressed/performance-0add3f16b92e7b8855b50-min.en-US.js	(from https://www.redemptionchurch.co.za/)
00:58:49	705313/705313	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Apr%202021%2022:58:49%20GMT	https://static1.squarespace.com/static/sitecss/5e7239232f1ecd14b3d5416c/39/5c5a519771c10ba3470d8101/5e7239232f1ecd14b3d54186/1052-05142015/1618311964791/site.css	C:/My%20Web%20Sites/rlabs%20project/static1.squarespace.com/static/sitecss/5e7239232f1ecd14b3d5416c/39/5c5a519771c10ba3470d8101/5e7239232f1ecd14b3d54186/1052-05142015/1618311964791/site.css	(from https://www.redemptionchurch.co.za/)
00:58:51	93776/93776	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2026%20Apr%202021%2022:58:52%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/rlabs%20project/connect.facebook.net/en_US/fbevents.js	(from https://www.redemptionchurch.co.za/)
00:58:56	106068/106068	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Apr%202021%2022:58:55%20GMT	https://www.redemptionchurch.co.za/cart	C:/My%20Web%20Sites/rlabs%20project/www.redemptionchurch.co.za/cart.html	(from https://www.redemptionchurch.co.za/)
00:58:59	135689/135689	---M-Z	200	added ('OK')	text/html	etag:W/%226febb467ced88a7a0737e7a4ca942830%22	https://www.redemptionchurch.co.za/online-church	C:/My%20Web%20Sites/rlabs%20project/www.redemptionchurch.co.za/online-church.html	(from https://www.redemptionchurch.co.za/)
